id,Aud and Aud,InO and InO,Vis and Vis,DoA and Vis,Aud and Vis,DoA and DoA,Aud and InO,DoA and InO,Aud and SoM,InO and Vis,SoM and Vis,Lmb and Lmb,Lmb and SoM,SoM and SoM,Aud and DoA,Aud and Def,Lmb and Vis,InO and Lmb,InO and SoM,DoA and Lmb,Aud and Lmb,DoA and SoM,Def and DoA,Def and Lmb,Def and Def,Def and Vis,Def and SoM,Def and InO
fake_id_1 ,15.0134871874688,38.5429881203783,28.9229687041832,14.3670435601989,17.2294422449559,14.8462056199448,13.804460677233,14.8231028741802,14.3800736221399,15.3130996170965,14.6611159095388,15.3563350124136,16.9282646563731,16.5066324023706,16.3288006732727,16.2930359338631,15.6641100232696,15.6717640814692,16.0804451376221,15.4361311338865,15.4347737369074,14.7293737813469,13.8743890510888,14.1664109894634,13.2830874796378,13.1902051713229,12.7185479087182,12.8608988002592
fake_id_2 ,21.2036277783185,39.3278290175916,31.845400691919,22.9656509902926,22.6680466737779,23.223346001588,25.9205899344666,24.4239361647215,25.0158664787897,30.7336465921129,27.8434300006858,26.0713656245822,24.227484472235,24.5735822960549,25.2223751900872,25.1897785549629,25.1413977924742,25.078753815714,25.0867225677619,24.4761631026348,24.7469647977801,25.0845891461204,25.8372960140919,25.6796092739926,26.7979841704231,29.3913215539885,30.1978542776536,30.8809501095868
fake_id_3 ,28.9528325341271,24.2662797453176,56.9725257606735,28.458464130723,29.2163943515082,24.1680563677029,24.8969220022316,21.5589372589619,23.8886485160121,26.3576143456126,25.1755454929222,23.9418861704339,23.3971160709588,24.1604908313682,24.1920695564237,24.3761097488052,25.4220058815938,25.0842611841029,25.4167184879364,24.8938548990412,25.2527350214106,25.3785263636113,24.5618994064269,25.2087417337855,24.7735555277043,26.2671441451963,27.1403267016126,26.9099302415384
fake_id_4 ,2.97902139722084,21.3901068658591,3.2036302357175,-2.81083707829439,-2.55171618959565,-3.58052768089941,-5.92046151126135,-6.18945063755445,-4.9379857322744,-5.20396291089865,-4.76048226650638,-5.21550853183509,-4.19717099813662,-3.79770581444483,-3.78060402569712,-4.0113263468571,-3.60771129344929,-3.9485943290844,-3.96250602157475,-3.65691385956801,-3.73821880080813,-3.24954255034522,-4.07878428125746,-4.09019584714412,-4.70432056527933,-4.97383579516986,-4.63499375212572,-4.56314638358307
fake_id_5 ,6.68045522616876,13.8806087424592,31.8273960112585,16.0694651088871,15.9534409350099,13.2767019452655,11.9335671397787,8.78110407394136,7.73257578495452,6.3480905211454,6.39510624978039,6.6085728474739,5.71046349455548,5.48568286956085,5.49645548186933,5.08002756308597,4.74425925690004,4.23013368925366,4.32255020175023,4.53693509325982,4.74518953467006,4.91581101406703,5.03312932698669,5.04558097834428,5.08282353318336,5.80692031529614,5.4264932451258,5.38859357484547
fake_id_6 ,11.4282667495461,8.0420877098825,13.2787580913416,30.7762439915046,27.3584577572592,26.9603817782934,24.9984398396868,21.9280606818227,19.6602949720181,17.8649143065583,14.9293787746597,13.4105024193826,12.5642266910939,11.8263990651668,11.7482806659119,11.3276298534666,11.1073958574973,11.2682092553002,11.4735033235997,12.0203339317838,12.3519038624167,11.7965385685368,12.241972388004,13.3246343054004,13.5349724824258,13.1618626597675,12.5772800477039,12.7907806630939
fake_id_7 ,-7.4400478903924,5.05458223421091,3.75370800049589,8.65193193070226,8.23256673813476,11.3716464289177,10.9634939983045,12.8537934009658,16.0130985366372,14.6325497615551,13.351689980667,13.4886657397077,12.8078241726723,12.2496019889712,12.1829268168254,12.2466903561921,11.1791317935113,11.3797526361614,11.2067232031973,11.5548604652248,12.0246597012776,12.9954233366099,13.8890001986321,13.7718066047312,14.2385499273627,14.0772815547684,14.2494825814916,14.0914987766238
fake_id_8 ,-2.45662326006587,-1.77359129149186,-2.78408466318018,-6.62158111705498,-8.17031262857621,-7.54626259649462,-7.38335905817209,-5.85276269040213,-4.52299201863812,-5.11039588532994,-3.98459832055482,-4.46983853083495,-4.64931297744983,-4.72995038636233,-4.48480125516469,-4.86762434944812,-4.25877048437999,-4.05415806009198,-3.66724907145595,-4.57448846085906,-4.71664990599994,-5.79014057857999,-5.22490753696285,-5.31560738874682,-4.45990906053407,-4.31070669720075,-3.63074096431256,-3.76183807980788
fake_id_9 ,12.8344162403498,-14.2914193254842,-8.75021415605397,0.467253016783079,3.35321071233221,5.39587243017031,3.42058473951251,2.0886677556268,1.82283893074197,2.0938684228149,-0.0649311456423773,-0.412990431241992,-0.304703460908742,-0.0939796742479513,-0.884596141235963,-1.87711939507197,-1.89183482925287,-1.47062491869815,-1.87484567395479,-1.78578727018162,-1.68218152796542,-1.5446468917612,-1.8547017042833,-1.95386631278254,-2.48549925412497,-2.74448584764255,-3.60902055993465,-3.59938894402868
fake_id_10,32.822266836598,13.2777487778978,13.039469974416,2.61165949378309,1.94085195981088,0.844033634227348,1.07932610255045,0.0671874255677126,-0.658265513006949,-0.272194607737002,-0.940153530596714,-1.26647122214821,-2.86194782152822,-3.1864523281047,-3.49809941394281,-3.42000190381842,-3.3411171083323,-3.35560984739556,-3.73213113376067,-4.16836066043324,-4.09443776819634,-4.48242150571547,-4.89849855703828,-4.97946307426712,-6.10243900037958,-5.86800513537223,-6.407489801017,-6.55026140375863
